season,playoff,play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,game_date,quarter_seconds_remaining,game_seconds_remaining,game_half,sp,qtr,down,time,yrdln,ydstogo,desc,play_type,field_goal_result,kick_distance,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam_score,defteam_score,score_differential,opp_fg_prob,field_goal_attempt,kicker_player_name,kicker_player_id,type,iced,overtime
2010,reg,4746,2010101003,WAS,GB,WAS,home,GB,GB,2010-10-10,494.0,494.0,Overtime,1,5,3.0,08:14,GB 15,3,"(8:14) G.Gano 33 yard field goal is GOOD, Center-N.Sundberg, Holder-H.Smith.",field_goal,made,33.0,2,1,0.0,,2.0,1.0,13.0,13.0,0.0,0.012590257770234094,1.0,G.Gano,00-0026858,iced,iced,1
2010,reg,4273,2010101006,CIN,TB,TB,away,CIN,CIN,2010-10-10,5.0,5.0,Half2,1,4,1.0,00:05,CIN 13,10,"(:05) C.Barth 31 yard field goal is GOOD, Center-A.Economos, Holder-C.Bryan.",field_goal,made,31.0,0,0,0.0,,0.0,0.0,20.0,21.0,-1.0,0.0,1.0,C.Barth,00-0026138,iced,iced,0
2010,reg,4329,2010101700,GB,MIA,MIA,away,GB,GB,2010-10-17,546.0,546.0,Overtime,1,5,3.0,09:06,GB 26,5,"(9:06) D.Carpenter 44 yard field goal is GOOD, Center-J.Denney, Holder-B.Fields.",field_goal,made,44.0,1,2,0.0,,2.0,1.0,20.0,20.0,0.0,0.05093045921937795,1.0,D.Carpenter,00-0026003,no_timeout,non_iced,1
2010,reg,4309,2010102402,BAL,BUF,BUF,away,BAL,BAL,2010-10-24,8.0,8.0,Half2,1,4,1.0,00:08,BAL 32,10,"(:08) (Field Goal formation) R.Lindell 50 yard field goal is GOOD, Center-G.Sanborn, Holder-B.Moorman.",field_goal,made,50.0,1,0,0.0,,0.0,1.0,31.0,34.0,-3.0,0.050163721327997686,1.0,R.Lindell,00-0019310,iced,iced,0
2010,reg,4693,2010102402,BAL,BUF,BAL,home,BUF,BUF,2010-10-24,661.0,661.0,Overtime,1,5,4.0,11:01,BUF 20,1,"(11:01) (Field Goal formation) B.Cundiff 38 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch.",field_goal,made,38.0,1,2,0.0,,1.0,2.0,34.0,34.0,0.0,0.03119467500028552,1.0,B.Cundiff,00-0020972,off_timeout,non_iced,1
2010,reg,4064,2010102410,SD,NE,SD,home,NE,NE,2010-10-24,27.0,27.0,Half2,0,4,4.0,00:27,NE 32,7,"(:27) K.Brown 50 yard field goal is No Good, Hit Right Upright, Center-M.Windt, Holder-M.Scifres.",field_goal,missed,50.0,2,0,0.0,,2.0,0.0,20.0,23.0,-3.0,0.05263682205339026,1.0,K.Brown,00-0001980,no_timeout,non_iced,0
2010,reg,4159,2010103103,KC,BUF,BUF,away,KC,KC,2010-10-31,439.0,439.0,Overtime,0,5,4.0,07:19,KC 34,7,"(7:19) (Field Goal formation) R.Lindell 53 yard field goal is No Good, Hit Right Upright, Center-G.Sanborn, Holder-B.Moorman.",field_goal,missed,53.0,0,2,0.0,,2.0,0.0,10.0,10.0,0.0,0.0870108988138502,1.0,R.Lindell,00-0019310,iced,iced,1
2010,reg,4331,2010103103,KC,BUF,KC,home,BUF,BUF,2010-10-31,223.0,223.0,Overtime,0,5,4.0,03:43,BUF 21,5,"(3:43) R.Succop 39 yard field goal is No Good, Wide Left, Center-T.Gafford, Holder-D.Colquitt.",field_goal,missed,39.0,0,1,0.0,,0.0,1.0,10.0,10.0,0.0,0.02314683905032156,1.0,R.Succop,00-0026968,iced,iced,1
2010,reg,4758,2010103103,KC,BUF,KC,home,BUF,BUF,2010-10-31,5.0,5.0,Overtime,1,5,4.0,00:05,BUF 16,2,"(:05) R.Succop 35 yard field goal is GOOD, Center-T.Gafford, Holder-D.Colquitt.",field_goal,made,35.0,0,1,0.0,,0.0,1.0,10.0,10.0,0.0,0.0,1.0,R.Succop,00-0026968,no_timeout,non_iced,1
2010,reg,4554,2010110700,DET,NYJ,NYJ,away,DET,DET,2010-11-07,4.0,4.0,Half2,1,4,2.0,00:04,DET 18,10,"(:04) N.Folk 36 yard field goal is GOOD, Center-T.Purdum, Holder-S.Weatherford.",field_goal,made,36.0,1,0,0.0,,0.0,1.0,17.0,20.0,-3.0,0.0,1.0,N.Folk,00-0025565,no_timeout,non_iced,0
2010,reg,4720,2010110700,DET,NYJ,NYJ,away,DET,DET,2010-11-07,767.0,767.0,Overtime,1,5,3.0,12:47,DET 12,6,"(12:47) N.Folk 30 yard field goal is GOOD, Center-T.Purdum, Holder-S.Weatherford. Penalty on DET, Personal Foul, declined.",field_goal,made,30.0,1,2,0.0,,2.0,1.0,20.0,20.0,0.0,0.009709066376462554,1.0,N.Folk,00-0025565,iced,iced,1
2010,reg,4884,2010110710,OAK,KC,OAK,home,KC,KC,2010-11-07,7.0,7.0,Half2,1,4,2.0,00:07,KC 22,10,"(:07) S.Janikowski 41 yard field goal is GOOD, Center-J.Condo, Holder-S.Lechler.",field_goal,made,41.0,0,1,0.0,,0.0,1.0,17.0,20.0,-3.0,0.020828755678606658,1.0,S.Janikowski,00-0019646,no_timeout,non_iced,0
2010,reg,5155,2010110710,OAK,KC,OAK,home,KC,KC,2010-11-07,729.0,729.0,Overtime,1,5,2.0,12:09,KC 15,10,"(12:09) S.Janikowski 33 yard field goal is GOOD, Center-J.Condo, Holder-S.Lechler.",field_goal,made,33.0,2,1,0.0,,2.0,1.0,20.0,20.0,0.0,0.0144453844344017,1.0,S.Janikowski,00-0019646,iced,iced,1
2010,reg,4383,2010111401,CLE,NYJ,NYJ,away,CLE,CLE,2010-11-14,296.0,296.0,Overtime,0,5,4.0,04:56,CLE 29,1,"(4:56) N.Folk 47 yard field goal is No Good, Wide Right, Center-T.Purdum, Holder-S.Weatherford.",field_goal,missed,47.0,2,1,0.0,,1.0,2.0,20.0,20.0,0.0,0.050957884014171916,1.0,N.Folk,00-0025565,no_timeout,non_iced,1
2010,reg,4509,2010111410,SF,STL,STL,away,SF,SF,2010-11-14,3.0,3.0,Half2,1,4,4.0,00:03,SF 15,7,"(:03) Josh.Brown 33 yard field goal is GOOD, Center-C.Massey, Holder-D.Jones.",field_goal,made,33.0,0,1,0.0,,1.0,0.0,17.0,20.0,-3.0,0.0,1.0,Josh.Brown,00-0021940,iced,iced,0
